"Nome do projeto","Website G4"
"Intervalo de datas","04/14/2026 00:00 - 04/14/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Páginas principais","Não, de sessões"
"","https://g4business.com/","557"
"","https://g4business.com/g4-learning","78"
"","https://g4business.com/g4-gestao-e-estrategia","54"
"","https://forms.g4business.com/inscricao/g4-programas-presenciais","43"
"","https://g4business.com/g4-tools","24"
"","https://g4business.com/formacao-g4","18"
"","https://g4business.com/g4-club","13"
"","https://g4business.com/biografias-mentores-g4","10"
"","https://g4business.com/g4-sales","10"
"","https://g4business.com/materiais-gratuitos","9"
"","https://g4business.com/sobre","9"
"","https://g4business.com/g4-scale","8"
