"Nome do projeto","Website G4"
"Intervalo de datas","04/19/2026 00:00 - 04/19/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Fonte","Não, de sessões"
"","Instagram","158"
"","    instagram.com","151"
"","    ig","3"
"","    instagram","3"
"","    l.instagram.com","1"
"","Google","125"
"","    google","125"
"","Direct","123"
"","    g4business.com","116"
"","    forms.g4business.com","7"
"","g4business.com","26"
"","Facebook","19"
"","    m.facebook.com","11"
"","    facebook","7"
"","    facebook.com","1"
"","g4educacao.com","8"
"","Bing","7"
"","    bing","7"
"","forms.g4business.com","5"
"","portal.g4educacao.com","5"
"","Yahoo","3"
"","    yahoo","3"
"","YouTube","2"
"","    youtube","2"
"","hubspot","2"
