"Nome do projeto","Website G4"
"Intervalo de datas","04/20/2026 00:00 - 04/20/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Campanha","Não, de sessões"
"","adsgg_g4_bau074_lgen_g4-institucional_bofu_form-g4-google_leads_branding_site-g4","19"
"","always-on","6"
"","adsgg_g4_bau418_sc_g4-ecomm_bofu_on-selfcheckout-outros_pmax_captacao_ecommerce","4"
"","adsgg_g4_bau086_lgen_g4-gestao-de-pessoas_bofu_form-g4-google_leads_no-branding_form-lp-dinamico","3"
"","adsgg_g4_bau079_lgen_g4-sales_bofu_form-g4-google_leads_branding_form-lp-dinamico","2"
"","adsgg_g4_bau084_lgen_g4-customer-experience_bofu_form-g4-google_leads_no-branding_form-lp-dinamico","2"
"","adsgg_g4_bau419_lgen_programas-presenciais_bofu_form-g4-google_leads_branding_lp","2"
"","adsfb_g4_bau394_sc_formacao-bp_bofu_on-selfcheckout-outros_venda_captacao_lp","1"
"","adsfb_g4_bau420_sc_todos-programas_bofu_selfcheckout-todos_venda_perpetuo_lp","1"
"","adsfb_g4_bau421_sc_fg4_bofu_selfcheckout-fg4_venda_perpetuo_lp","1"
"","adsfb_g4_bau461_sc_todos-programas_mofu_selfcheckout-outros_venda_perpetuo_ecommerce","1"
"","adsgg_g4_bau081_lgen_g4-mkt-e-growth_bofu_form-g4-google_leads_branding_form-lp-dinamico","1"
