"Nome do projeto","Website G4"
"Intervalo de datas","04/20/2026 00:00 - 04/20/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Dispositivos","Não, de sessões","% de sessões"
"","PC","373","60,75%"
"","Mobile","236","38,44%"
"","Tablet","5","0,81%"
"","","","","",""
"","","","","",""
"Dados de tendências","","","","",""
"","Data","PC"
"","04/20/2026 12AM","5"
"","04/20/2026 1AM","4"
"","04/20/2026 2AM","3"
"","04/20/2026 3AM","1"
"","04/20/2026 4AM","0"
"","04/20/2026 5AM","1"
"","04/20/2026 6AM","4"
"","04/20/2026 7AM","6"
"","04/20/2026 8AM","14"
"","04/20/2026 9AM","24"
"","04/20/2026 10AM","30"
"","04/20/2026 11AM","23"
"","04/20/2026 12PM","20"
"","04/20/2026 1PM","27"
"","04/20/2026 2PM","41"
"","04/20/2026 3PM","41"
"","04/20/2026 4PM","35"
"","04/20/2026 5PM","19"
"","04/20/2026 6PM","18"
"","04/20/2026 7PM","8"
"","04/20/2026 8PM","8"
"","04/20/2026 9PM","11"
"","04/20/2026 10PM","21"
"","04/20/2026 11PM","9"
