"Nome do projeto","Website G4"
"Intervalo de datas","04/20/2026 00:00 - 04/20/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Todos os usuários"
"","Id de usuário","Não, de sessões","País/Região","Dispositivo"
"","adv69n","5","Brazil","PC"
"","dx2cfi","5","Brazil","PC"
"","1kiw95r","5","Brazil","PC"
"","zwd5fm","4","Angola","PC"
"","1cyrud","3","Brazil","PC"
"","hxiimo","3","Brazil","PC"
"","qpgolv","3","Brazil","PC"
"","1dwnlk1","3","United States","PC"
"","1msu7zo","3","Brazil","PC"
"","hs0kb","2","Brazil","PC"
"","2kh94s","2","Brazil","PC"
"","5csrll","2","Brazil","PC"
